ชุดที่,1,,,
ปีบัญชีที่,2562,,,
ครั้งที่สรรหา,Jan-62,,,
,,,,
id,ภาค,ชื่อกลุ่ม,จำนวนผู้ได้รับตำแหน่ง,จำนวนสำรอง
1,ส่วนกลาง,ส่วนกลางกรมส่งเสริมการเกษตร,1,1
80,ส่วนกลาง,กรมการข้าว,1,1
79,ส่วนกลาง,กรมหม่อนไหม,1,1
6,ส่วนกลาง,กำแพงเพชร,1,1
2,ส่วนกลาง,กรุงเทพมหานคร,1,1
27,ภาคใต้,นราธิวาส,,
49,ภาคใต้,ระนอง,,
47,ภาคใต้,ยะลา,,
23,ภาคใต้,นครศรีธรรมราช,,
59,ภาคใต้,สงขลา,,
18,ภาคใต้,ตรัง,,
69,ภาคใต้,สุราษฎร์ธานี,,
33,ภาคใต้,ปัตตานี,,
13,ภาคใต้,ชุมพร,,
3,ภาคใต้,กระบี่,,
36,ภาคใต้,พัทลุง,,
35,ภาคใต้,พังงา,,
60,ภาคใต้,สตูล,,
43,ภาคใต้,ภูเก็ต,,
31,ภาคตะวันตก,ประจวบคีรีขันธุ์,,
17,ภาคตะวันตก,ตาก,,
52,ภาคตะวันตก,ราชบุรี,,
4,ภาคตะวันตก,กาญจนบุรี,,
40,ภาคตะวันตก,เพชรบุรี,,
46,ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,,
51,ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,,
44,ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,,
48,ภาคตะวันออกเฉียงเหนือ,ยโสธร,,
57,ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,,
78,ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,,
77,ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,,
74,ภาคตะวันออกเฉียงเหนือ,อุดรธานี,,
72,ภาคตะวันออกเฉียงเหนือ,หนองคาย,,
71,ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,,
21,ภาคตะวันออกเฉียงเหนือ,นครพนม,,
64,ภาคตะวันออกเฉียงเหนือ,สระแก้ว,,
58,ภาคตะวันออกเฉียงเหนือ,สกลนคร,,
70,ภาคตะวันออกเฉียงเหนือ,สุรินทร์,,
5,ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,,
7,ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,,
22,ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,,
28,ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,,
12,ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,,
29,ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,,
16,ภาคตะวันออก,ตราด,,
50,ภาคตะวันออก,ระยอง,,
32,ภาคตะวันออก,ปราจีนบุรี,,
10,ภาคตะวันออก,ชลบุรี,,
8,ภาคตะวันออก,จันทบุรี,,
9,ภาคตะวันออก,ฉะเชิงเทรา,,
73,ภาคกลาง,อ่างทอง,,
62,ภาคกลาง,สมุทรสงคราม,,
63,ภาคกลาง,สมุทรสาคร,,
19,ภาคกลาง,นครนายก,,
66,ภาคกลาง,สิงห์บุรี,,
67,ภาคกลาง,สุโขทัย,,
68,ภาคกลาง,สุพรรณบุรี,,
76,ภาคกลาง,อุทัยธานี,,
61,ภาคกลาง,สมุทรปราการ,,
20,ภาคกลาง,นครปฐม,,
11,ภาคกลาง,ชัยนาท,,
39,ภาคกลาง,เพชรบูรณ์,,
34,ภาคกลาง,พระนครศรีอยุธยา,,
25,ภาคกลาง,นครสวรรค์,,
53,ภาคกลาง,ลพบุรี,,
37,ภาคกลาง,พิจิตร,,
65,ภาคกลาง,สระบุรี,,
38,ภาคกลาง,พิษณุโลก,,
24,ภาคกลาง,นนทบุรี,,
30,ภาคกลาง,ปทุมธานี,,
42,ภาคเหนือ,พะเยา,,
75,ภาคเหนือ,อุตรดิตถ์,,
45,ภาคเหนือ,แม่ฮ่องสอน,,
14,ภาคเหนือ,เชียงราย,,
26,ภาคเหนือ,น่าน,,
41,ภาคเหนือ,แพร่,,
54,ภาคเหนือ,ลำปาง,,
55,ภาคเหนือ,ลำพูน,,
56,ภาคเหนือ,เลย,,
15,ภาคเหนือ,เชียงใหม่,,